Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Kashmiri 'tahar',98.21,19.45830364,1.985541187,1.394969962,0.173098462,0.997861725,62.40708685,4.001629162,0.3258324,0.020364525,Kashmiri 'tahar',Veg,Lunch/Dinner
Cumin pulao (Jeera/Zeera pulao),135.24,17.45785271,1.826382727,2.366163857,0.473232771,1.035196687,162.4741201,5.360839988,0.244010648,1.049985211,Cumin pulao (Jeera/Zeera pulao),Veg,Lunch/Dinner
Peas pulao (Matar pulao),108.87,16.9192615,3.573068798,1.745200698,1.194084688,2.948470653,79.15862956,16.6988151,0.716450813,57.27932396,Peas pulao (Matar pulao),Veg,Lunch/Dinner
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,16.92268085,3.089333219,1.973740668,1.364455505,2.711748048,84.15858577,16.38204754,0.703681455,23.23006951,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Veg,Lunch/Dinner
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,17.16994662,2.740817465,2.055613099,1.585531033,2.143255517,82.13688152,13.15433033,0.613496933,6.461636523,Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Veg,Lunch/Dinner
Mutton pulao,130.77,8.610537585,4.985853024,8.243480921,0.764701384,1.261757284,2382.495985,38.13565803,0.95587673,3.418215187,Mutton pulao,Non-Veg,Lunch/Dinner
Chicken pulao,108.24,10.31966001,5.607908352,7.834441981,0.914634146,1.515151515,2857.973023,29.79490022,0.905395418,4.129711752,Chicken pulao,Non-Veg,Lunch/Dinner
Mexican rice,120.57,11.78568466,3.831798955,4.04744132,1.194326947,1.36020569,77.48196069,12.03450278,0.456166542,35.42340549,Mexican rice,Veg,Lunch/Dinner
Plain khitchdi (Plain khichri/khichdi),57.03,17.60476942,3.015956514,1.77099772,0.210415571,1.490443626,65.12361915,8.854988602,0.543573558,1.455374364,Plain khitchdi (Plain khichri/khichdi),Veg,Lunch/Dinner
Instant idli (with semolina),247.29,17.55024465,3.704153019,1.459824498,1.354684783,2.883254479,608.4597032,37.68854381,0.934125925,0.056613692,Instant idli (with semolina),Veg,Breakfast
Plain dosa,380.91,16.82287154,2.714551994,2.21312121,0.183770444,1.373027749,37.53642593,5.079940143,0.39379381,0.0,Plain dosa,Veg,Breakfast
Masala dosa mixed vegetable fillings,144.53,15.9274891,3.348785719,2.255587075,1.05860375,2.982079845,84.46689269,21.99543347,0.83719643,36.0271224,Masala dosa mixed vegetable fillings,Veg,Breakfast
Masala dosa paneer fillings,243.12,12.24086871,4.240704179,3.636064495,1.978446858,1.279203685,65.97564988,70.43024021,0.522375782,4.730174399,Masala dosa paneer fillings,Veg,Breakfast
Uttapam,255.95,14.17464349,2.414534089,3.528032819,0.586051963,1.719085759,89.34948232,15.96405548,0.48056261,2.402813049,Uttapam,Veg,Breakfast
Appam,267.7,4.960776989,1.16548375,8.453492716,1.553978334,2.312289877,9.932760553,2.375793799,0.310048562,0.960029884,Appam,Veg,Breakfast
Beans and macaroni,136.08,10.46443269,3.365667255,5.15138154,1.234567901,1.506466784,134.3253968,63.83009994,0.551146384,12.15461493,Beans and macaroni,Veg,Lunch/Dinner
Spaghetti bolognese,97.43,10.30483424,9.59663348,9.760853946,1.447192856,1.108488145,5499.948681,75.60299702,2.114338499,28.62567998,Spaghetti bolognese,Non-Veg,Lunch/Dinner
Meat and macaroni casserole,161.55,9.978334881,5.663881151,6.295264624,0.619003405,0.736614051,1554.930362,42.26555246,1.145156298,17.96966883,Meat and macaroni casserole,Non-Veg,Lunch/Dinner
Spaghetti with meat balls and tomato sauce,158.13,6.614810599,3.547713906,6.728640992,1.182571302,0.701954088,119.6041232,25.8142035,0.44899766,27.8821223,,,
Spaghetti with paneer balls and tomato sauce,158.54,8.023211808,2.491484799,6.585088937,1.911189605,0.788444557,125.867289,50.92090324,0.346915605,27.8100164,,,
Lasagne with meat sauce,63.38,8.488482171,4.575575891,5.41180183,1.640896182,0.741558851,58.50426002,38.82928369,0.773114547,126.4910066,,,
Lasagne with vegetables,49.23,11.98456226,3.473491773,4.387568556,2.782855982,1.340645948,82.83566931,66.80885639,1.157830591,365.4275848,,,
Home made egg noodles,240.84,17.82095997,2.719647899,1.814482644,0.427669822,0.664341472,73.59242651,6.626806178,0.477495433,0.0,,,
Sour lentils (Khatti dal),34.79,17.36131072,6.381144007,0.344926703,3.59298649,3.506754815,332.2793906,23.8286864,2.443230813,5.403851682,,,
Urad special dehusked,69.43,12.7610543,4.522540688,3.125450094,1.901195449,3.600748956,157.7992222,23.62091315,1.195448653,25.06121273,,,
Arhar with spinach (Arhar dal aur palak),52.84,9.027252082,3.879636639,5.22331567,0.435276306,2.460257381,208.1188494,41.27554883,1.684330053,35.56018168,,,
Moong dal with vadi,24.08,4.15282392,1.661129568,8.513289037,1.868770764,1.619601329,466.6112957,12.41694352,0.747508306,42.31727575,,,
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,12.60284218,4.225878833,3.290949888,3.103964099,5.983545251,389.34181,61.92969334,2.206432311,64.58489155,,,
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,11.67554281,4.547316673,3.564113068,1.802539943,6.308889799,421.0159771,63.74436706,2.130274478,80.74559607,,,
Green gram whole with baghar (Sabut moong dal with tadka),63.43,10.72047927,5.092227653,3.909821851,0.23648116,4.761154028,286.4417468,39.47658837,1.576541069,0.756739713,,,
Urad sabut special,79.39,6.335810555,2.934878448,6.877440484,1.083259856,2.708149641,75.68963346,27.01851619,0.894319184,35.83574758,,,
Kabuli channa curry,68.57,11.12731515,4.25842205,4.462592971,1.808371008,1.633367362,177.9932915,46.71138982,1.38544553,23.65465947,,,
Besan gatte curry,189.38,8.585911923,4.092301193,5.660576618,2.376174886,1.716126307,188.124406,79.77611152,0.997993452,7.070440384,,,
Dry masala chops,135.07,2.443177612,6.722440216,7.063004368,1.680610054,0.636706893,61.79758644,83.10505664,1.029096024,1.384467313,,,
Mutton korma,115.64,2.187824282,6.131096506,7.384987893,1.418194396,0.674507091,49.23901764,68.37599447,0.942580422,4.790729851,,,
Shahi keema kofta curry,418.13,0.413746921,0.990122689,10.48238586,0.186544854,0.217635664,24.9994021,3.470212613,0.160237247,5.015186664,,,
Minced meat ball curry,109.79,2.604973131,6.211859004,7.150013662,1.156753803,1.357136351,154.89571,21.71418162,0.919938064,18.78130977,,,
Boti kebab,132.86,2.303176276,6.939635707,6.977269306,1.57308445,0.572030709,58.81378895,74.26614481,1.0612675,3.402077375,,,
Mutton seekh kebab,133.94,2.321935195,8.399283261,6.293862924,1.045244139,1.403613558,76.28042407,87.68105122,1.635060475,2.964013737,,,
Indian lamb and egg curry (Nargisi kofta),335.75,0.616530156,1.143708116,10.33507074,0.223380491,0.178704393,17.10796724,3.845122859,0.16381236,2.284437826,,,
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,0.652772787,0.568930411,11.17698726,0.219587176,0.171677247,450.686709,2.77278716,0.139737294,7.541821376,,,
Soya chunks korma (Nutrinugget korma),131.43,5.835806133,2.936924599,7.228182302,3.545613635,1.955413528,113.3531157,68.24925816,0.897816328,8.818382409,,,
Mushroom matar,70.77,7.531439876,3.942348453,5.80754557,1.964109086,4.422778013,87.08492299,30.26706231,1.144552777,55.32005087,,,
Soya chunks and peas (Nutrinugget matar),82.62,7.044299201,3.667392883,6.184943113,1.984991527,3.461631566,85.89929799,24.59452917,1.198257081,47.38562092,,,
Vegetable yakhni,406.06,0.477761907,0.290597449,10.78658326,0.354627395,0.150224105,9.370536374,10.75456829,0.059104566,1.337240802,,,
Spinach mushroom (Palak mushroom),47.63,6.193575478,4.073063195,6.214570649,2.099517111,4.765903842,149.0027294,104.4509763,3.548183918,126.4119253,,,
Vegetarian nargisi kofta curry,332.15,1.981032666,0.689447539,9.917206082,0.49676351,0.258919163,22.1466205,14.17732952,0.114406142,8.204124642,,,
Roast chicken,199.9,0.050025013,10.25012506,6.533266633,0.025012506,0.015007504,35.87293647,6.808404202,0.395197599,0.150075038,,,
Shahi chicken masala,163.7,2.486255345,5.998778253,7.342700061,1.747098351,0.586438607,87.08613317,50.50702505,0.543677459,6.059865608,Shahi chicken masala,Non-Veg,Lunch/Dinner
Tomato chicken,111.68,1.907234957,9.464541547,6.008237822,0.83273639,1.271489971,93.86640401,19.01862464,0.779011461,21.96454155,Tomato chicken,Non-Veg,Lunch/Dinner
Creamy chicken,152.87,2.047491333,8.844115915,6.260221103,1.380257735,0.451363904,63.50493884,32.94956499,0.53640348,4.879963368,Creamy chicken,Non-Veg,Lunch/Dinner
Broccoli chicken ala king,119.56,4.466376715,6.666109067,6.331549013,2.082636333,1.605888257,86.99397792,61.35831382,0.652392104,66.75309468,Broccoli chicken ala king,Non-Veg,Lunch/Dinner
Ginger chicken,129.17,4.33537199,6.379190214,6.379190214,1.509638461,0.936750019,283.2391422,14.25253542,0.743206627,38.67771154,Ginger chicken,Non-Veg,Lunch/Dinner
Chicken sweet and sour,445.09,0.599878676,1.554741738,10.69221955,0.199959559,0.130310724,406.6458469,4.93832708,0.208946505,8.488170932,Chicken sweet and sour,Non-Veg,Lunch/Dinner
Chicken korma,147.96,3.669910787,6.643687483,6.535550149,2.243849689,1.230062179,80.56907272,46.40443363,0.71640984,6.772100568,Chicken korma,Non-Veg,Lunch/Dinner
Bengal fish curry (Bengali machli curry),109.43,4.039111761,6.634378141,6.424198118,2.184044595,1.763684547,69.79804441,40.6104359,0.776752262,8.580827927,Bengal fish curry (Bengali machli curry),Non-Veg,Lunch/Dinner
Fish finger,542.9,0.823356051,1.042549272,10.28181986,0.031313317,0.062626635,19.0734942,2.096150304,0.069994474,2.602689261,Fish finger,Non-Veg,Any
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,3.166685999,10.04523837,5.13861501,1.797935274,1.763136527,85.75571279,25.44948382,1.055562,12.42315277,Fish in coconut milk (Nariyal ke doodh ke saath machli),Non-Veg,Lunch/Dinner
Prawn curry (with coconut) (Jhinga curry),109.55,2.829758101,7.795527157,6.325878594,1.853035144,1.424007303,343.0944774,34.00273848,0.876312186,3.395709722,Prawn curry (with coconut) (Jhinga curry),Non-Veg,Lunch/Dinner
Baked stuffed fish,121.96,1.738274844,13.23384716,4.452279436,0.286979337,0.311577566,60.9708101,15.41489013,0.286979337,10.66743194,Baked stuffed fish,Non-Veg,Lunch/Dinner
Fish pie,120.9,6.401985112,7.650951199,4.772539289,0.934656741,0.628618693,84.20181969,29.90074442,0.380479735,22.3490488,Fish pie,Non-Veg,Lunch/Dinner
Crispy baked fish,138.4,6.929190751,7.911849711,4.63150289,1.105491329,0.874277457,139.0317919,43.38150289,0.397398844,12.26156069,Crispy baked fish,Non-Veg,Lunch/Dinner
Fish souffle,139.71,3.67904946,7.522725646,6.119819626,1.495955909,0.135995992,66.17278649,45.71612626,0.422303343,1.725001789,Fish souffle,Non-Veg,Lunch/Dinner
Potato curry (Aloo ki sabzi),89.56,11.63465833,1.697186244,4.991067441,1.764180438,2.702099151,87.53907995,26.50736936,1.0830728,47.09691827,Potato curry (Aloo ki sabzi),Veg,Lunch/Dinner
Egg curry (Anda curry),117.52,3.42920354,4.57794418,7.496596324,1.616746086,1.778420694,120.9326072,35.3897209,1.293396869,16.19298843,Egg curry (Anda curry),Non-Veg,Lunch/Dinner
Vegetable curry with coconut,83.07,8.655350909,3.334537137,5.609726736,1.697363669,4.032743469,52.2450945,23.63067293,1.14361382,83.78475984,Vegetable curry with coconut,Veg,Lunch/Dinner
Curd with potatoes (Dahi aloo),59.9,11.93656093,2.604340568,4.540901503,3.038397329,1.986644407,86.79465776,60.70116861,0.784641068,71.66944908,Curd with potatoes (Dahi aloo),Veg,Lunch/Dinner
Potato kofta curry (Aloo kofta curry),455.4,0.61045235,0.122968819,10.7773386,0.138339921,0.122968819,6.613965744,1.706192358,0.057092666,10.24154589,Potato kofta curry (Aloo kofta curry),Veg,Lunch/Dinner
Yam kofta curry (Zimikand/Suran kofta curry),322.88,1.1614222,0.219895937,10.48067393,0.19511893,0.32210109,13.07606541,2.586100099,0.096010902,11.171333,Yam kofta curry (Zimikand/Suran kofta curry),Veg,Lunch/Dinner
Jackfruit kofta curry (Kathal ka kofta curry),321.08,0.987292887,0.249159088,10.53631494,0.747477264,0.298990906,12.47041236,3.538059051,0.074747726,8.561729164,Jackfruit kofta curry (Kathal ka kofta curry),Veg,Lunch/Dinner
Spinach and potato (Palak aloo),57.17,10.33758964,2.851145706,4.932656988,1.626727305,3.568305055,109.2531048,76.38621655,2.78117894,137.7120868,Spinach and potato (Palak aloo),Veg,Lunch/Dinner
Mooli bhujia,91.2,5.197368421,1.853070175,7.949561404,1.173245614,2.587719298,98.38815789,144.6052632,2.598684211,88.56359649,Mooli bhujia,Veg,Any
Bathua bhujia,90.9,3.99339934,2.486248625,8.01980198,1.188118812,4.180418042,90.1980198,182.4422442,2.596259626,73.26732673,Bathua bhujia,Veg,Any
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,4.27428411,5.76221224,6.569343066,0.884334643,1.291409321,82.85373386,22.1364402,0.687815834,8.906513195,Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),Veg,Any
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,5.640696462,4.621680173,6.555403996,3.057048865,1.885581321,99.47845623,23.9268234,0.762256279,21.59191206,Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),Veg,Lunch/Dinner
Dry arbi (Sookhi arbi),134.95,8.23267877,1.570952205,6.646906262,1.148573546,1.830307521,60.20748425,16.87291589,0.50389033,6.009633197,Dry arbi (Sookhi arbi),Veg,Lunch/Dinner
Masala arbi,185.38,8.717229475,1.623691876,6.419246952,0.436940339,1.672240803,140.959111,17.30499515,0.534038192,1.024921782,Masala arbi,Veg,Lunch/Dinner
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.937315198,2.424600828,7.155529273,1.856889415,4.293317564,75.28089888,23.21703134,0.74512123,32.95091662,Peas brinjal bhartha (Matar baingan bhartha),Veg,Lunch/Dinner
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.061005324,1.651475499,8.365670968,1.281472791,3.221730891,83.72890533,61.2580092,0.794152152,26.2340944,Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),Veg,Lunch/Dinner
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,0.661335441,0.29037947,10.70299197,0.039528095,0.266054488,6.145098516,4.197579664,0.085137436,2.757844807,Crispy okra/Crispy lady's fingers (Karare bhindi),Veg,Lunch/Dinner
Beans foogath,105.06,3.102988768,1.932229202,8.775937559,1.618122977,3.950123739,77.30820484,42.07119741,0.904245193,6.053683609,Beans foogath,Veg,Lunch/Dinner
Stuffed bittergourd (wet) (Bharwa karele),162.36,2.88248337,0.83764474,9.386548411,1.201034738,1.761517615,221.7849224,10.62453806,0.560482878,28.90490269,Stuffed bittergourd (wet) (Bharwa karele),Veg,Lunch/Dinner
Jackfruit/Kathal (dry),488.97,0.93257255,0.190195718,10.58960672,0.726015911,0.272000327,6.887948136,2.615702395,0.067488803,4.441990306,Jackfruit/Kathal (dry),Veg,Lunch/Dinner
Yam fried (Zimikand/Suran fried),491.76,1.112331218,0.16064747,10.53156011,0.162680983,0.292825769,7.538230031,1.649178461,0.087441028,6.161542216,Yam fried (Zimikand/Suran fried),Veg,Lunch/Dinner
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.602487718,2.874464304,5.790738999,1.536531828,3.407546775,90.19546357,22.00271768,1.024354552,55.93184906,"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",Veg,Lunch/Dinner
Vegetable jalfrezi,68.48,7.92932243,2.044392523,6.396028037,2.613901869,4.33703271,116.0338785,39.58820093,0.992990654,38.08411215,Vegetable jalfrezi,Veg,Lunch/Dinner
Vegetables stir fry,30.78,10.36387264,3.378817414,4.77582846,2.794022092,4.45094217,178.6874594,43.20987654,1.104613385,124.0090968,Vegetables stir fry,Veg,Lunch/Dinner
Broccoli delight,40.7,5.749385749,6.117936118,6.093366093,2.653562654,6.953316953,145.6019656,66.31449631,1.744471744,194.1031941,Broccoli delight,Veg,Lunch/Dinner
Dhansak (vegetarian),82.8,8.792270531,4.009661836,5.048309179,1.099033816,5.036231884,41.28019324,31.88405797,1.52173913,16.00241546,Dhansak (vegetarian),Veg,Lunch/Dinner
Cauliflower basket,90.95,4.365035734,5.72842221,6.465090709,1.616272677,2.638812534,213.5459043,110.1594283,1.011544805,78.66959868,Cauliflower basket,Veg,Lunch/Dinner
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.678613585,6.26676682,6.22384376,1.631076296,1.266230282,114.8084558,77.07908574,0.708230497,9.668419358,Stuffed bottle gourd (Stuffed ghiya/lauki),Veg,Lunch/Dinner
Ducheese potato,140.54,7.784260709,2.561548314,6.410986196,0.206346947,0.917888146,73.89355344,12.87889569,0.540771311,5.144442863,Ducheese potato,Veg,Lunch/Dinner
Roast potatoes,87.32,16.6284929,1.752175905,2.691250573,0.377920293,1.958314246,103.8364636,11.88731104,0.652771415,19.88089785,Roast potatoes,Veg,Lunch/Dinner
Stuffed baked potatoes,100.2,11.00798403,3.81237525,4.381237525,0.399201597,1.30738523,91.90618762,25.66866267,0.808383234,18.73253493,Stuffed baked potatoes,Veg,Lunch/Dinner
Potato nests,111.62,9.899659559,5.115570686,4.273427701,1.263214478,2.230783014,163.1607239,49.4982978,0.77943021,33.56925282,Potato nests,Veg,Lunch/Dinner
Parsley potato,119.51,11.55551837,1.246757594,5.254790394,0.284495021,1.3304326,3.86578529,9.564053217,0.460212535,19.93138649,Parsley potato,Veg,Lunch/Dinner
Creamed spinach and mushroom,419.62,0.755445403,0.543348744,10.51904104,0.278823698,0.24307707,21.49802202,15.60697774,0.214479767,11.52709594,Creamed spinach and mushroom,Veg,Lunch/Dinner
Fricassee of Mushroom,106.66,7.622351397,3.422088881,6.216013501,2.35327208,1.153197075,111.5507219,79.66435402,0.337521095,37.20232515,Fricassee of Mushroom,Veg,Lunch/Dinner
Cauliflower au gratin,145.9,6.257710761,3.05003427,6.991089788,2.063056888,0.986977382,113.0637423,82.03564085,0.390678547,34.37285812,Cauliflower au gratin,Veg,Lunch/Dinner
Vegetable and cheese pie,126.88,6.904161412,3.176229508,6.525851198,2.120113493,1.505359395,92.99337957,78.40479193,0.457124842,43.3480454,Vegetable and cheese pie,Veg,Lunch/Dinner
Spinach souffle,150.18,4.174990012,4.900785724,7.00492742,0.592622187,0.958849381,162.5183114,89.01984286,1.431615395,20.1624717,Spinach souffle,Veg,Lunch/Dinner
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,4.003768252,3.956665097,7.595383891,2.319830429,0.647668394,129.6749882,21.34950542,0.647668394,7.065473387,Beetroot and egg salad (Chukandar aur ande ka salad),Non-Veg,Any
Sour cream potato salad,121.9,7.42411813,2.370795734,6.669401148,0.689089418,0.992616899,84.21657096,19.07301066,0.73831009,30.58244463,Sour cream potato salad,Veg,Any
Tossed green salad,49.88,7.658380112,2.666399358,6.495589415,3.809141941,2.666399358,130.4931836,67.58219727,2.546110666,116.7602245,Tossed green salad,Veg,Any
Spring basket salad,160.46,7.235448087,2.093979808,7.042253521,0.909884083,1.925713573,16.21587935,28.44945781,0.529727035,44.11691387,Spring basket salad,Veg,Any
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,13.06393579,5.784666482,2.574038195,6.310545253,4.59451979,392.2778854,189.5654581,1.439247163,18.65485746,Cucumber and yogurt salad (Kheere aur dahi ka salad),Veg,Any
Chicken and tomato towers,100.55,2.347091,6.862257583,6.951765291,1.203381402,1.133764296,75.60417703,17.44405768,0.765788165,56.37991049,Chicken and tomato towers,Non-Veg,Lunch/Dinner
Jellied sunshine fruit salad,48.86,8.616455178,11.97298404,1.739664347,5.853458862,3.683995088,151.8624642,76.01309865,1.780597626,58.84158821,Jellied sunshine fruit salad,Veg,Any
Tomato aspic,50.37,9.966249752,13.63907088,0.516180266,6.372840977,3.13678777,194.8977566,87.90946992,2.342664284,71.21302363,Tomato aspic,Veg,Any
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.08066853,1.623031591,4.028596271,13.89237755,0.251183461,12.78137378,27.63984156,0.396096995,32.31571829,Frozen frosty fruit salad (Phalon ka salaad),Veg,Any
French dressing,733.77,0.50151955,0.043610396,10.85490004,0.410210284,0.029982147,35.58744566,0.951251755,0.065415593,0.874933562,French dressing,Veg,Any
Mayonnaise without eggs,329.05,1.209542623,0.647318037,10.28415134,1.118371068,0.012156207,58.82996505,22.95699742,0.082054399,3.662057438,Mayonnaise without eggs,Veg,Any
Curd dressing,78.8,10.19035533,7.093908629,3.680203046,9.606598985,0.279187817,259.6700508,246.9416244,0.228426396,6.776649746,Curd dressing,Veg,Any
Carrot raita (Gajar ka raita),64.78,11.09910466,6.390861377,3.380673047,9.246681074,2.608829886,423.6801482,226.4896573,0.849027478,11.97900587,Carrot raita (Gajar ka raita),Veg,Lunch/Dinner
Pumpkin raita (Kaddu ka raita),55.6,10.82733813,6.726618705,3.381294964,9.856115108,1.870503597,232.2661871,234.0107914,0.59352518,12.78776978,Pumpkin raita (Kaddu ka raita),Veg,Lunch/Dinner
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,6.523873271,6.291834003,5.5243195,5.506470326,1.597501116,199.02722,170.4685408,1.499330656,5.408299866,Mint and peanut raita (Pudinay aur moongfali ka raita),Veg,Lunch/Dinner
Spinach raita (Palak ka raita),52.75,9.592417062,7.488151659,3.526066351,7.526066351,2.63507109,239.943128,271.014218,3.052132701,62.36966825,Spinach raita (Palak ka raita),Veg,Lunch/Dinner
Bathua raita,54.4,9.761029412,7.591911765,3.235294118,7.555147059,4.025735294,203.8970588,379.2463235,2.683823529,80.23897059,Bathua raita,Veg,Lunch/Dinner
Pineapple raita (Ananas ka raita),67.74,12.72512548,5.757307352,2.981989962,11.98700915,2.051963389,200.0,198.597579,0.398582817,29.36226749,Pineapple raita (Ananas ka raita),Veg,Lunch/Dinner
Banana raita (Kele ka raita),89.03,15.17466023,4.638885769,2.325058969,11.35572279,1.123216893,152.1172638,149.6461867,0.348197237,6.436032798,Banana raita (Kele ka raita),Veg,Lunch/Dinner
Mango raita (Aam ka raita),67.37,12.21611993,5.788926822,3.176488051,11.68175746,1.321062788,201.068725,201.9593291,0.504675672,27.00014843,Mango raita (Aam ka raita),Veg,Lunch/Dinner
Guava raita (Amarood ka raita),64.36,11.29583592,6.510254817,3.216283406,10.42573027,4.661280298,211.2181479,212.7563704,0.435052828,168.8937228,Guava raita (Amarood ka raita),Veg,Lunch/Dinner
Grapes raita (Angoor ka raita),72.59,13.30761813,5.482848877,2.851632456,11.72337788,0.978096156,186.8576939,185.3147817,0.358176057,14.53368233,Grapes raita (Angoor ka raita),Veg,Lunch/Dinner
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,11.89484953,3.211609373,4.591411919,11.4547401,0.654216724,23.33769478,112.0256929,0.273581539,7.374806709,Bottle gourd kheer (Ghiya/Lauki kheer),Veg,Dinner
Pumpkin kheer (Kaddu ki kheer),86.35,12.09033005,3.196294152,4.470179502,11.71974522,0.729588882,24.30804864,110.7237985,0.277938622,9.334105385,Pumpkin kheer (Kaddu ki kheer),Veg,Dinner
Apple kheer (Seb ki kheer),81.3,13.94833948,2.632226322,3.911439114,13.17343173,0.627306273,19.50799508,93.07503075,0.221402214,7.158671587,Apple kheer (Seb ki kheer),Veg,Dinner
Caramel custard (baked),122.7,12.18418908,4.164629177,4.083129584,12.1597392,0.0,36.49551752,73.83048085,0.43194784,2.461287694,Caramel custard (baked),Veg,Dinner
Vanilla ice cream without egg,228.67,6.214195128,1.176367691,7.937202082,5.881838457,0.0,10.48235448,35.54029825,0.043731141,0.931473302,Vanilla ice cream without egg,Veg,Any
Vanilla ice cream with egg,214.85,5.450314173,1.936234582,7.921805911,5.441005353,0.0,17.55643472,36.03444263,0.158249942,0.991389341,Vanilla ice cream with egg,Non-Veg,Any
Strawberry ice cream,215.61,5.686192663,1.924771578,7.86605445,5.380084412,0.0,17.44817031,35.74973331,0.157692129,0.98789481,Strawberry ice cream,Veg,Any
Chocochip ice cream,241.45,6.93725409,1.75191551,7.425968109,6.659763926,0.0,14.42948851,30.32511907,0.211223856,0.882170222,Chocochip ice cream,Veg,Any
Choconut ice cream,273.96,8.442838371,1.839684625,6.749160461,7.672652942,0.186158563,10.88845087,24.59483136,0.324864944,0.792086436,Choconut ice cream,Veg,Any
Pear chocholate sunday,183.49,8.185732192,1.133576762,7.144803532,7.853289008,0.038149218,8.861518339,30.88451687,0.130797319,1.820262685,Pear chocholate sunday,Veg,Any
Chocolate sauce,263.2,16.41717325,0.725683891,3.947568389,15.98024316,0.0,1.063829787,7.142857143,0.429331307,0.0,Chocolate sauce,Veg,Any
Coffee ice cream,150.62,9.354667375,2.09135573,6.26078874,8.863364759,0.0,27.94449608,63.55065728,0.099588368,1.4340725,Coffee ice cream,Veg,Any
Coffee pear alaska,203.99,9.490661307,1.411833913,6.480709839,8.274915437,0.073533016,25.05514976,29.7122408,0.107848424,1.705965979,Coffee pear alaska,Veg,Any
Crunchy butterscotch,277.32,7.183037646,1.121448147,7.568873504,6.393336218,0.169479302,8.019616328,26.05654118,0.093754507,0.768065772,Crunchy butterscotch,Veg,Any
Peach melba ice cream,200.85,8.120487926,1.025641026,7.224296739,6.646751307,0.02987304,8.922081155,30.14687578,0.054767239,1.488673139,Peach melba ice cream,Veg,Any
Vanilla ice cream with apples in hot cherry sauce,196.32,11.58822331,0.881214344,5.832314588,7.22799511,0.132436838,16.06560717,28.69804401,0.081499593,2.154645477,Vanilla ice cream with apples in hot cherry sauce,Veg,Any
Grape and orange whip,57.39,11.70935703,2.45687402,4.565255271,9.862345356,1.690189929,25.0217808,30.31887088,0.923505837,60.7422896,Grape and orange whip,Veg,Any
Honey banana cream,125.49,10.86939198,2.215315961,5.323133317,8.375169336,0.557813372,12.47111324,34.68005419,0.183281536,13.29189577,Honey banana cream,Veg,Any
Raspberry bavarian cream,150.1,11.87208528,2.225183211,5.249833444,10.19320453,1.459027315,16.38241173,17.58827448,0.206528981,14.26382412,Raspberry bavarian cream,Veg,Any
Fruit delight,107.09,8.506863386,1.951629471,6.620599496,8.432159866,0.08404146,16.12662247,66.94369222,0.140069101,7.227565599,Fruit delight,Veg,Any
Creamy chocolate mousse,230.52,4.134131529,2.971542599,7.877841402,3.899878535,0.0,21.10012146,19.62953323,0.416449766,0.325351379,Creamy chocolate mousse,Veg,Any
Cold lemon souffle,169.87,9.195266969,3.467357391,5.757343851,8.170954259,0.0,27.28557132,32.39536116,0.312003297,5.092129275,Cold lemon souffle,Veg,Any
Cold orange souffle,173.19,9.394306831,3.429759224,5.67007333,8.326115827,0.06351406,26.86644725,32.0168601,0.329118309,5.820197471,Cold orange souffle,Veg,Any
Cold pineapple souffle,181.22,9.298090718,3.437810396,5.733362763,8.271713939,0.0,27.24864805,31.52521797,0.297980355,1.037413089,Cold pineapple souffle,Veg,Any
Cold vanilla souffle,179.54,9.073187034,3.464409045,5.748022725,8.07062493,0.0,27.34209647,34.79447477,0.289629052,0.72407263,Cold vanilla souffle,Veg,Any
