Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Strawberry and vanilla cake with butter icing,370.54,11.94203055,1.049819183,5.502779727,8.752091542,0.213202353,28.94964106,7.602418093,0.188913478,2.266961732,Strawberry and vanilla cake with butter icing,Veg,Any
Eggless cake,318.08,14.50578471,2.552816901,3.694039235,8.708501006,0.213782696,97.61695171,66.95485412,0.191775654,0.424421529,Eggless cake,Veg,Any
Swiss roll,251.87,19.19244054,2.898320562,1.496803907,13.08611585,0.218366618,20.60586811,9.57239846,0.472465955,0.0,Swiss roll,Veg,Any
Pineapple pastry,208.21,13.94745689,2.91052303,3.779837664,9.043753902,0.345804716,21.27659574,20.63781759,0.413044522,1.748234955,Pineapple pastry,Veg,Any
Black forest pastry,233.55,14.76343395,2.607578677,3.622350674,9.141511454,0.231213873,22.8773282,18.90387497,0.393919931,0.389638193,Black forest pastry,Veg,Any
Coconut finger,274.86,15.48424653,2.579495016,3.223459216,10.38710616,0.680346358,17.04867933,8.746270829,0.476606272,0.0,Coconut finger,Veg,Any
Pineapple cake,195.57,12.02127116,2.561742599,4.775783607,8.263026026,0.38860766,19.15938027,25.08564708,0.327248556,13.98476249,Pineapple cake,Veg,Any
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,11.08757062,1.544256121,5.560263653,5.315442561,0.36252354,66.01694915,8.498116761,0.322504708,0.037664783,Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Veg,Any
Chocolate chip cookies,425.29,13.63305039,1.36142397,4.556890592,7.12219897,0.246890357,65.43535,5.821909756,0.286863082,0.0,Chocolate chip cookies,Veg,Any
Sweet plain biscuit,380.76,13.20779494,1.539027209,4.640718563,5.717512344,0.281016914,34.82246034,11.26168715,0.241622019,0.007878979,Sweet plain biscuit,Veg,Any
Chocolate biscuit,379.76,13.576996,1.548346324,4.500210659,6.361912787,0.265957447,33.44744049,10.93058774,0.300189593,0.007899726,Chocolate biscuit,Veg,Any
